Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Juwan Morgan,PF,22,UTA,21,0,6.4,0.7,1.2,0,0.1,0.4,,0.6,0.9,0.63,0,0.1,0.2,,0.5,0.9,1.4,0.3,0,0.1,0.3,0.9,1.7
Nigel Williams-Goss,PG,25,UTA,10,0,5,0.5,1.6,0.455,0.2,0.7,,0.3,0.9,0.441,0.52,0.2,0.2,,0.2,0.4,0.6,0.6,0.3,0.1,0.3,0.6,1.4
Bradley Beal,SG,26,WAS,57,57,36,10.4,22.9,0.466,3,8.4,,7.4,14.4,0.489,0.489,6.8,8,,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Dāvis Bertāns,PF,27,WAS,54,4,29.3,4.9,11.3,0.581,3.7,8.7,,1.2,2.6,0.473,0.626,1.9,2.3,,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
Rui Hachimura,PF,21,WAS,48,48,30.1,5.3,11.4,0.42,0.5,1.8,,4.8,9.5,0.479,0.483,2.4,2.9,,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5
Thomas Bryant,C,22,WAS,46,36,24.9,5.3,9.1,0.408,0.8,2,,4.5,7.1,0.443,0.5,1.9,2.5,,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2
Jordan McRae,SG,28,WAS,29,4,22.6,4.6,10.9,0.428,1.4,3.7,,3.2,7.3,0.645,0.512,2.2,2.9,,0.6,3,3.6,2.8,0.7,0.5,1.3,2.1,12.8
Isaiah Thomas,PG,30,WAS,40,37,23.1,4.4,10.7,0.447,2,4.7,,2.4,5.9,0.538,0.492,1.6,1.9,,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
Shabazz Napier,PG,28,WAS,20,10,24.4,3.7,8.7,0.439,1.5,4.1,,2.3,4.6,0.333,0.488,2.7,3.3,,0.5,2,2.4,3.8,1.5,0.2,2.6,2,11.6
Ish Smith,PG,31,WAS,68,23,26.3,4.5,10.1,0.397,0.9,2.5,,3.6,7.6,0.54,0.483,0.9,1.3,,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,10.9
Troy Brown Jr.,SF,20,WAS,69,22,25.8,4,9,0.545,0.9,2.6,,3.1,6.4,0.5,0.592,1.6,2,,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4
Jerome Robinson,SG,22,WAS,21,5,24,3.3,8.3,0.495,1.4,4.1,,1.9,4.2,0.571,0.507,1.4,1.8,,0.4,2.9,3.3,2,0.7,0.4,1.1,2.7,9.4
Moritz Wagner,C,22,WAS,45,5,18.6,3.2,5.9,0.322,0.6,1.8,,2.7,4.1,0.5,0.415,1.7,2.1,,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7
Ian Mahinmi,C,33,WAS,38,35,21.3,2.7,5.5,0.526,0.1,0.7,,2.6,4.8,0.421,0.526,1.8,3,,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3,7.4
C.J. Miles,SF,32,WAS,10,0,16.1,1.9,5.9,0.429,1.1,3.5,,0.8,2.4,0.5,0.598,1.5,2,,0.4,0.8,1.2,1.2,1,0.4,0.4,1.4,6.4
Anžejs Pasečņiks,C,24,WAS,27,0,16.2,2.3,4.3,0.504,0,0.1,,2.3,4.2,0.516,0.558,1.3,2.1,,1.6,2.4,4,0.7,0.3,0.4,0.9,2.8,5.8
Garrison Mathews,SG,23,WAS,18,0,12.6,1.3,3.1,0.545,1.1,2.6,,0.3,0.6,0.594,0.682,1.7,1.9,,0.3,1,1.3,0.6,0.4,0.1,0.4,1.8,5.4
Isaac Bonga,SF,20,WAS,66,49,18.9,1.8,3.5,0.37,0.4,1.1,,1.4,2.5,0.167,0.407,1,1.3,,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5
Jerian Grant,SG,27,WAS,6,0,13.3,1.7,4.5,0.38,0.3,1.3,,1.3,3.2,,0.484,0.8,1.2,,0.3,0.7,1,1.5,0.2,0.2,0.5,1.8,4.5
Gary Payton II,SF,27,WAS,29,17,14.9,1.7,4,0.559,0.4,1.6,,1.2,2.4,,0.559,0.1,0.3,,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
Admiral Schofield,PF,22,WAS,33,2,11.2,1.1,2.8,0.294,0.6,1.8,,0.5,0.9,,0.397,0.3,0.5,,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3
Johnathan Williams,PF,24,WAS,15,6,12,1.3,2.3,0.417,0,0.1,,1.3,2.1,,0.542,0.5,0.9,,1.6,2.7,4.3,0.5,0.1,0.5,0.3,1.1,3
